orig.order,site.no,site.name,n,sess.Sobs,sess.Schao,mob.Sobs,mob.Schao,sess.q.mean,mob.q.mean,sedim.mean,depth.m,sfr.mean,sfr.m,diss.day.cm.mean.orig,diss.day.cm.mean,ann.curr.mean,ann.curr.max,aug.mean,aug.max,ENCA,ENNA,Rfil,Rfol,BOPS,OPCA,AGFI,HYSP,Abie,Lafo,Agla,Hal1,ANLA,Hal2,SYSP,SYAM,CLCE,XEHI,MYLA,SPOT,POPA,LEUC,EPSC,BAEL,Metr,CRFE,Urti,EPLI,GERU,Alcy,DOCO,DOFE,TUCA,TUOT,PSOC,PISP,PHCL,VECO,POMA,BACR,BANU,PSCH,TETR,META,DICA,DIOC,PYST,PEAN,CLHU,APCA,APSO,TCOT,Trid,Chel,Core,CNFI,HAIG,Stye,ASPA,TSOT,PYHA,BOVI,SCUN,EUBI,BREN,DELI,DICL,Cris,CEDI,HEPA,PHPA,DEMU,BRER,SFR,SDR,Hen,PHE,SST,ETR,PTE,Oph,PCA,EQU,CPI,PLU,CUWH,CST,Ton,Mop,LME,Chi,Lot,AMI,CCU,Lim,CLI,CAN,CAL,Tro,Amp,GA1,OLU,TCAn,CFO,FOR,NUC,BMU,GAS,ACO,GHE,DSA,CMO,LCO,CLU,ANA,Dorid,TFE,JFU,DAL,HCR,DDI,Fla,Aeo,SAC,COR,LMA,MQU,Her,Shr,JZO,AHA,Gunnel
1,11,FI,16,32,35.125,21,25.16666667,6.5,1.3125,37.5025,14.6304,0,0,0.923290333,0.923290333,0.3598,0.4112,0.724193548,1.035483871,0.6875,0.8125,0.125,0.3125,0,0,0,0.625,0,0.0625,0,0,0,0,0.1875,0,0,0,0.8125,0.0625,0,0,0,0.3125,0,0,0,0,0,0,0,0,0.3125,0,0.8125,0,0,0,0.3125,0.375,0,0,0.125,0.9375,0,0,0,0,0,0,0,0,0,0.125,0,0.0625,0.0625,0.125,0,0,0,0.0625,0,0,0.25,0,0.1875,0.1875,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0.1875,0,0.0625,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0.0625,0,0,0,0,0.5,0.125,0,0
2,10,HH,16,22,23.5,17,23.25,4.4375,0.75,59.104375,15.0114,0,0,0.724856667,0.724856667,0.3341,0.3598,0.65672043,0.906451613,0.5,0.25,0,0,0,0,0,0.8125,0,0,0,0,0,0,0.625,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.125,0,0,0,0.125,0.25,0,0.0625,0,0.75,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0.875,0,0,0.25,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.0625,0,0.125,0,0,0,0,0,0.5,0.0625,0,0
3,2,KB,24,59,69.66666667,34,52,16.79166667,2.875,0,14.4272,4.333333333,0.866666667,NA,NA,0.9509,1.0794,1.849731183,2.480645161,1,0.791666667,0.625,0.958333333,0,0,0.208333333,0.541666667,0.333333333,0.041666667,0.875,0.458333333,0.416666667,0.708333333,0.166666667,0,0,0.083333333,0,0.791666667,0,0.125,0,0.541666667,0.625,0,0,0,0.041666667,0.291666667,0.083333333,0,0.375,0,0.416666667,0.5,0,0,0.125,0.041666667,0,0.458333333,0.375,0.833333333,0.666666667,0.291666667,0.791666667,0.166666667,0,0.5,0.5,0.041666667,0,0.166666667,0.333333333,0,0,0,0,0.041666667,0.083333333,0.208333333,0.25,0,0.75,0,0.5,0.875,0,0,0,0,0.041666667,0.125,0,0.083333333,0,0,0,0,0.333333333,0,0.041666667,0.041666667,0,0.041666667,0,0.833333333,0.166666667,0.125,0,0,0,0,0,0.416666667,0,0.041666667,0.5,0.5,0.083333333,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0.041666667,0.041666667,0,0,0,0.333333333,0,0.333333333,0,0,0,0.083333333,0.041666667,0.125,0,0.041666667
4,13,LB,24,41,65.5,27,30.125,10.125,2.666666667,2.55375,16.6624,0.5,0.1,NA,NA,0.5654,0.7196,1.105376344,1.719354839,0.791666667,0.708333333,0.125,0,0,0,0,0.25,0,0,0,0.5,0.416666667,0,0,0,0.041666667,0.083333333,0,0.791666667,0,0,0,0.458333333,0.5,0,0.041666667,0,0,0,0.208333333,1,0.583333333,0,0.25,0.25,0,0,0.041666667,0,0,0.375,0.625,0.125,0.041666667,0.166666667,0,0,0,0,0,0,0.208333333,0,0,0,0,0,0,0,0,0.125,0.166666667,0.625,0.833333333,0,0.75,0.041666667,0,0.041666667,0,0.041666667,0,0,0,0.25,0,0,0,0,0.041666667,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0.666666667,0,0,0.166666667,1.375,0.083333333,0.125,0.333333333,0.041666667,0,0,0,0.208333333,0.041666667,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0.166666667,0,0.041666667,0.041666667,0
5,4,LI,24,57,71.4,31,35.16666667,11.33333333,3.875,0,15.6464,1.333333333,0.266666667,NA,NA,0.8224,1.2336,1.582258065,2.725806452,0.916666667,1,0.583333333,0.875,0,0,0.041666667,0.458333333,0.541666667,0,0.083333333,0.041666667,0.416666667,0.333333333,0.041666667,0,0,0.041666667,0.041666667,0.958333333,0,0.041666667,0,0.458333333,0.833333333,0,0.041666667,0.375,0,0,0,0,0.166666667,0,0.166666667,0.083333333,0,0,0,0.041666667,0.125,0.416666667,0.416666667,0.208333333,0.333333333,0.291666667,0.041666667,0,0,0,0.25,0.208333333,0.208333333,0.083333333,0.041666667,0.125,0,0,0,0,0.083333333,0.125,0.416666667,0.041666667,0.541666667,0,0.125,0.291666667,0,0,0,0,0,0,0,0.125,0,0,0,0.083333333,0.125,0,0.5,0,9.25,0,0,0.5,0.208333333,0.208333333,0.125,0.041666667,0,0,0,1.916666667,0,0,0.5,0.5,0,0.166666667,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0.25,0,0.083333333,0,0.041666667,0,0.166666667,0,0,0.166666667,0
6,3,LK,24,51,54,36,164,10.91666667,3.625,0,15.1384,1.166666667,0.233333333,NA,NA,0.7453,0.8224,1.428494624,1.906451613,0.958333333,1,0.708333333,0.833333333,0,0,0.708333333,0.625,0.166666667,0.166666667,0.375,0,0.333333333,0.166666667,0,0,0,0.041666667,0,0.25,0,0.083333333,0,0.333333333,0.208333333,0,0,0,0.083333333,0.083333333,0.083333333,0,0.333333333,0,0.833333333,0.333333333,0,0,0.208333333,0.208333333,0,0.208333333,0.541666667,0.375,0.041666667,0,0.041666667,0,0,0.041666667,0,0,0,0.125,0.208333333,0,0,0,0,0,0.083333333,0.208333333,0.416666667,0.041666667,1,0.041666667,0.416666667,0.583333333,0,0,0,0.208333333,0.083333333,0,0,0.041666667,0,0.041666667,0,0,0.208333333,0,0.041666667,0,0,0,0,0.75,0.166666667,0.5,0,0.041666667,0.041666667,0,0.166666667,0.541666667,0.083333333,0,0.416666667,1.458333333,0.041666667,0,0.041666667,0,0,0,0,0.166666667,0,0,0,0,0.041666667,0,0,0.041666667,0,0,0.041666667,0,0.041666667,0.041666667,0,0,0,0,0,0.416666667,0.041666667,0.083333333,0,0
7,14,LP,24,48,52.9,35,47.1,13.375,3.333333333,3.230416667,14.6304,0.333333333,0.066666667,NA,NA,0.7196,0.7196,1.462096774,2.096774194,1,0.875,0.041666667,0.125,0,0,0.041666667,0.5,0.458333333,0.166666667,0.166666667,0.25,0.083333333,0.333333333,0,0,0.083333333,0.041666667,0,0.583333333,0,0,0,0.875,0.416666667,0,0,0,0,0,0,0.708333333,0.625,0.083333333,0.791666667,0.375,0,0,0.083333333,0,0,0.75,0.833333333,0.625,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.083333333,0,0,0,0.041666667,0.25,0.333333333,0.875,0.166666667,0.666666667,0.958333333,0,0,0.041666667,0.208333333,0.041666667,0,0.041666667,0.041666667,0,0,0,0,0.333333333,0,0,0.041666667,0,0,0,0.375,0.041666667,0.083333333,0,0,0,0,0.041666667,1,0,0,0.375,0.958333333,0,0.083333333,0.583333333,0,0,0,0,0.166666667,0,0,0,0,0.041666667,0.083333333,0,0,0,0,0,0,0.166666667,0.291666667,0,0.041666667,0.083333333,0,0,0.208333333,0.041666667,0.041666667,0.041666667,0
8,5,ON,24,45,53.1,28,44,10.16666667,2.125,2.500416667,15.03172,3.833333333,0.766666667,0.908364,0.908364,0.4883,0.514,1.045967742,1.348387097,0.958333333,1,0.541666667,0.333333333,0,0.041666667,0,0.625,0.208333333,0.125,0.041666667,0.833333333,0.166666667,0,0.166666667,0,0,0,0,0.541666667,0,0,0.041666667,0.791666667,0.083333333,0,0,0,0,0,0,0,0.875,0,0.708333333,0.166666667,0,0.458333333,0,0.333333333,0,0.041666667,0.25,0.416666667,0,0.041666667,0.041666667,0,0,0,0,0,0,0.125,0.041666667,0,0,0,0,0,0.083333333,0.083333333,0.708333333,0.166666667,1,0.083333333,0,0,0,0,0.041666667,0,0.041666667,0.041666667,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0.208333333,0.041666667,0,0,0,0,0,0,0.208333333,0,0,0.125,0.166666667,0,0,0.333333333,0.041666667,0.041666667,0,0,0.166666667,0,0,0,0.125,0,0,0.041666667,0.041666667,0,0,0,0,0,0.166666667,0,0.083333333,0,0,0,0.708333333,0.25,0.125,0,0
9,7,PG,24,41,73,28,44,9.166666667,3.5,0,15.0114,2,0.4,1.643033667,1.4039255,0.5654,0.6682,1.170698925,1.512903226,0.958333333,0.958333333,0.708333333,0.541666667,0,0.041666667,0.125,0.583333333,0.5,0.083333333,0,0,0.041666667,0.125,0,0,0,0,0,0.291666667,0,0.041666667,0,0.791666667,0.041666667,0,0,0,0,0.041666667,0.208333333,0,0.375,0,0.583333333,0.041666667,0,0,0,0.041666667,0,0.25,0.5,0.416666667,0.208333333,0.208333333,0,0,0,0,0,0,0,0,0.041666667,0.125,0,0,0,0,0,0,0.291666667,0.708333333,0.75,0.208333333,0.333333333,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,2.291666667,0.125,0.125,0,0.041666667,0,0,0,1.583333333,0,0,4.541666667,0.291666667,0,0,0.291666667,0,0,0,0,0.041666667,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0.041666667,0,0.083333333,0,0.458333333,0,0.041666667,0.041666667,0
10,16,PP,24,29,31.25,21,25.16666667,6.625,0.708333333,24.455,14.4272,0,0,NA,NA,NA,NA,0.605430108,0.867741935,1,1,0,0.416666667,0.375,0,0,0.041666667,0,0.041666667,0,0,0,0,0,0.166666667,0.833333333,0,0,0.333333333,0.291666667,0,0.041666667,0,0,0,0,0,0,0,0,0,0.958333333,0,0.75,0,0.083333333,0,0.625,0.25,0,0.083333333,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0.125,0,0,0.708333333,0,0,0,0,0.291666667,0,0,0,0,0,0.041666667,0,0,0.083333333,0,0,0,0,0,0.083333333,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208333333,0,0.083333333,0.041666667,0,0
